Codificació;denominaci;Departament;membre;c_rrec_en_l_rgan_de_govern_superior;c_rrec_o_lloc_de_treball;SAC.carrec;SAC.codi_d_informaci;rgan_que_designa;SAC;nom_1;Observacions
Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de CatalunyaPersona titular de la direcció de serveis del departament d’adscripció de l’EntitatDirectora de Serveis del Departament de la Presidència;Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de Catalunya;PRE - Departament de la Presidència;Persona titular de la direcció de serveis del departament d’adscripció de l’Entitat;Vocal;Directora de Serveis del Departament de la Presidència;directora de Serveis;35;;Direcció de Serveis;Àgata Solernou Viñolas;
Fundació Casa Amèrica CatalunyaPatró designat per l'Administració de la Generalitat de CatalunyaSecretari d’Afers Europeus, Multilaterals i de Cooperació al Desenvolupament;Fundació Casa Amèrica Catalunya;UEX - Departament d'Unió Europea i Acció Exterior;Patró designat per l'Administració de la Generalitat de Catalunya;Vicepresident/a tercer;Secretari d’Afers Europeus, Multilaterals i de Cooperació al Desenvolupament;Secretari d'Afers Europeus, Multilaterals i de Cooperació al Desenvolupament;13801;Govern de la Generalitat de Catalunya;Secretaria d'Afers Europeus, Multilaterals i de Cooperació al Desenvolupament;Agustí Fernández de Losada Passols;
Fundació Institució dels Centres de Recerca de Catalunya (Fundació I-CERCA)Patró designat pel titular del departament de la Generalitat competent en matèria de salutDirectora general de Planificació del Departament de Salut de la Generalitat de Catalunya;Fundació Institució dels Centres de Recerca de Catalunya (Fundació I-CERCA);REU - Departament de Recerca i Universitats;Patró designat pel titular del departament de la Generalitat competent en matèria de salut;Vocal;Directora general de Planificació del Departament de Salut de la Generalitat de Catalunya;directora general de Planificació en Salut;19031;;Direcció General de Planificació en Salut;Aina Plaza Tesías;
Consorci Administració Oberta de CatalunyaPresident. El titutar del departament competent en matèria de Governació i Rel. InstitucionalsConseller del Departament de la Presidència;Consorci Administració Oberta de Catalunya;PRE - Departament de la Presidència;President. El titutar del departament competent en matèria de Governació i Rel. Institucionals;President/a;Conseller del Departament de la Presidència;Conseller de la Presidència;6;;Departament de la Presidència;Albert Dalmau Miranda;
Consorci Parc de Recerca Biomèdica de Barcelona (PRBB)Representant de la Generalitat designat pel titular del departament competent en matèria d'economiaDirector General de Fons Europeus i Ajuts d'Estat del departament d'Economia i Hisenda;Consorci Parc de Recerca Biomèdica de Barcelona (PRBB);REU - Departament de Recerca i Universitats;Representant de la Generalitat designat pel titular del departament competent en matèria d'economia;Vocal;Director General de Fons Europeus i Ajuts d'Estat del departament d'Economia i Hisenda;Director general de Fons Europeus i Ajuts d'Estat;21707;Consellera d'Economia i Hisenda;Direcció General de Fons Europeus i Ajuts d'Estat;Aleix Cubells Barceló;
Centre d'Atenció i Gestió de Trucades d'Urgència 112 CatalunyaDirector/a del Servei Català de la SalutDirector del Servei Català de la Salut (CatSalut);Centre d'Atenció i Gestió de Trucades d'Urgència 112 Catalunya;ISP - Departament d'Interior i Seguretat Pública;Director/a del Servei Català de la Salut;Vocal;Director del Servei Català de la Salut (CatSalut);director del Servei Català de la Salut;3009;;Servei Català de la Salut (CatSalut);Alfredo García Díaz;
Fundació Catalana per a l'Ensenyament de l'Idioma Anglès i l'Educació en AnglèsLa persona titular del departament de la Generalitat competent en matèria d'economiaConsellera del Departament d'Economia i Finances;Fundació Catalana per a l'Ensenyament de l'Idioma Anglès i l'Educació en Anglès;ECF - Departament d'Economia i Finances;La persona titular del departament de la Generalitat competent en matèria d'economia;President/a;Consellera del Departament d'Economia i Finances;Consellera d'Economia i Finances;19772;;Departament d'Economia i Finances;Alícia Romero Llano;
Institut d'Estadística de CatalunyaPresident/a de l'Idescat,que és el/la conseller/a del depart. competent en matèria de gestió de SECConsellera del Departament d’Economia i Finances;Institut d'Estadística de Catalunya;ECF - Departament d'Economia i Finances;President/a de l'Idescat,que és el/la conseller/a del depart. competent en matèria de gestió de SEC;President/a;Consellera del Departament d’Economia i Finances;Consellera d'Economia i Finances;19772;President de la Generalitat de Catalunya;Departament d'Economia i Finances;Alícia Romero Llano;
Biocat, la Fundació BioRegió de CatalunyaEl/la titular del Departament competent en matèria d'economiaConsellera d’Economia i Finances;Biocat, la Fundació BioRegió de Catalunya;SLT - Departament de Salut;El/la titular del Departament competent en matèria d'economia;Vocal;Consellera d’Economia i Finances;Consellera d'Economia i Finances;19772;;Departament d'Economia i Finances;Alícia Romero Llano;
Consorci Casa ÀsiaMembre en representació de la Generalitat de CatalunyaConsellera d’Economia i Hisenda;Consorci Casa Àsia;UEX - Departament d'Unió Europea i Acció Exterior;Membre en representació de la Generalitat de Catalunya;Membre;Consellera d’Economia i Hisenda;Consellera d'Economia i Finances;19772;Govern de la Generalitat de Catalunya;Departament d'Economia i Finances;Alícia Romero Llano;
