Fundació Carles Pi i Sunyer, d’Estudis Autonòmics i Locals	Administració de la Generalitat de Catalunya	Director de l'Escola d'Administració Pública de Catalunya	592
Fundació Privada Aula d'Alts Estudis d'Electes	Escola d'Administració Pública de Catalunya	Director de l'Escola d'Administració Pública de Catalunya	592
Biocat, la Fundació BioRegió de Catalunya	El/la titular del Departament competent en matèria de salut	Conseller/a de Salut	2803
Fundació Institut Universitari per a la Recerca a l'Atenció Primària de Salut Jordi Gol i Gurina	Director/a Gerent de l'Institut Català de la Salut		3062
Fundació REGO	Administració de la Generalitat de Catalunya	Directora general de Transports i Mobilitat	3520
Biocat, la Fundació BioRegió de Catalunya	El/la titular del Departament competent en matèria d'alimentació i indústries agroalimentàries	Conseller/a d'Agricultura, Ramaderia, Pesca i Alimentació	4163
Fundació Fòrum Universal de les Cultures	Generalitat de Catalunya representada pel seu President	President de la Generalitat de Catalunya	15006
Fundació Observatori de l'Ebre	Institut Cartogràfic i Geològic de Catalunya, representat per la persona que designi el seu C.Rector	Director de l'Institut Cartogràfic i Geològic de Catalunya	19281
Fundació Privada Institut de Tecnologia de la Construcció de Catalunya (ITeC)	Consellers de territo, habitatge, infraestr, sostenibilitat, patrimoni, coneix i empresa, fins 4 max	Conseller/a d'Empresa i Treball	19775
Barcelona Graduate School of Economics, Fundació Privada	Fins a 9 patrons d'institucions o empreses que donin suport a la Fundació	Secretari General d'Economia i Hisenda	19777
Biocat, la Fundació BioRegió de Catalunya	El/la titular del Departament competent en matèria de recerca	Conseller/a de Recerca i Universitats	21648
Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de Catalunya	Persona titular de la direcció de serveis del departament d’adscripció de l’Entitat	Directora de Serveis del Departament de la Presidència	35
Fundació Casa Amèrica Catalunya	Patró designat per l'Administració de la Generalitat de Catalunya	Secretari d’Afers Europeus, Multilaterals i de Cooperació al Desenvolupament	13801
Fundació Institució dels Centres de Recerca de Catalunya (Fundació I-CERCA)	Patró designat pel titular del departament de la Generalitat competent en matèria de salut	Directora general de Planificació del Departament de Salut de la Generalitat de Catalunya	19031
Consorci Administració Oberta de Catalunya	President. El titutar del departament competent en matèria de Governació i Rel. Institucionals	Conseller del Departament de la Presidència	6
Consorci Parc de Recerca Biomèdica de Barcelona (PRBB)	Representant de la Generalitat designat pel titular del departament competent en matèria d'economia	Director General de Fons Europeus i Ajuts d'Estat del departament d'Economia i Hisenda	21707
Centre d'Atenció i Gestió de Trucades d'Urgència 112 Catalunya	Director/a del Servei Català de la Salut	Director del Servei Català de la Salut (CatSalut)	3009
Fundació Catalana per a l'Ensenyament de l'Idioma Anglès i l'Educació en Anglès	La persona titular del departament de la Generalitat competent en matèria d'economia	Consellera del Departament d'Economia i Finances	19772
Institut d'Estadística de Catalunya	President/a de l'Idescat,que és el/la conseller/a del depart. competent en matèria de gestió de SEC	Consellera del Departament d’Economia i Finances	19772
Biocat, la Fundació BioRegió de Catalunya	El/la titular del Departament competent en matèria d'economia	Consellera d’Economia i Finances	19772
Consorci Casa Àsia	Membre en representació de la Generalitat de Catalunya	Consellera d’Economia i Hisenda	19772
Consorci Intermunicipal de Vila-Seca i de Salou	Titular del departament de la Generalitat de Catalunya competent en matèria d'economia	Consellera d’Economia i Hisenda	19772
Institut Cartogràfic i Geològic de Catalunya	La direcció de l'Institut Cartogràfic i Geològic de Catalunya	Direcció de l'Institut Cartogràfic i Geològic de Catalunya	19281
Agència Catalana de Turisme	El director o directora de l'Agència Catalana de Turisme	Director de l'Agència Catalana de Turisme	5660
Consorci del Transport Públic del Camp de Tarragona, Autoritat Territorial de la Mobilitat	Vocal en representació de la Generalitat a proposta de VPD	Sub-director general de Transport Públic i Mobilitat	16052
Institut Nacional d'Educació Física de Catalunya	President/a - titular del departament al qual és adscrita la Secretaria General de l’Esport	Conseller del Departament d'Esports	23459
Infraestructures Ferroviàries de Catalunya	Vocals nomenats pel Govern, a proposta del conseller/a comp. en matèria de transport ferroviari	President de Ferrocarrils de la Generalitat de Catalunya	3608
Entitat Autònoma del Diari Oficial i de Publicacions de la Generalitat de Catalunya	Persona titular de la Direcció General de l'EADOP, amb veu i sense vot	Directora general de l'EADOP	90
Agència de l'Habitatge de Catalunya	Persones que determini el Govern en representació de la Generalitat i entitats relacionades	Secretària d'Afers Socials i Famílies	19800
Centre de Telecomunicacions i Tecnologies de la Informació de la Generalitat de Catalunya	Representants de I'Administració de Ia Generalitat de Catalunya	Secretària general del Departament d'Agricultura, Ramaderia, Pesca i Alimentació	4169
Institut Català d'Energia (ICAEN)	Vocals en representació de l’Administració de la Generalitat	Director General d’Energies Renovables Públiques de Catalunya, SAU	23019
Institut Català d'Energia (ICAEN)	Vocals en representació de l’Administració de la Generalitat	Director General d’Anàlisi i Prospectiva Econòmica	19793
Centre d'Alt Rendiment Esportiu (CAR)	La persona titular de la direcció de l'Institut Nacional d'Educació Física de Catalunya	Director de l'INEFC	2612
Institut Nacional d'Educació Física de Catalunya	El/la director/a de l’INEFC	Director de l'INEFC	2612
Centre d'Iniciatives per a la Reinserció	El/la vicepresident/a titular de la unitat directiva competent en matèria de serveis penitenciaris	Secretària de Mesures Penals, Reinserció i Atenció a la Víctima	20919
Centre d'Estudis Jurídics i Formació Especialitzada	Alts càrrecs del Departament de Justícia, designats per la persona que n'exerceix la presidència.	Secretària de Mesures Penals, Reinserció i Atenció a la Víctima	20919
Institut Cartogràfic i Geològic de Catalunya	Professionals de competència acreditada en l'àmbit d'actuació, nomenats per la presidència	Titular de la Direcció General d’Ordenació del Territori, Urbanisme i Arquitectura	18287
Institut Català del Sòl (INCASÒL)	Representants de la Generalitat que assenyali el Govern	Directora general d'Ordenació del Territori i Urbanisme	18287
Consorci de l'Observatori del Paisatge	Administració de la Generalitat de Catalunya	Director general d'Ordenació del Territori i Urbanisme	18287
Agència de l'Habitatge de Catalunya	Persones que determini el Govern en representació de la Generalitat i entitats relacionades	Director general d'Ordenació del Territori i Urbanisme	18287
Consorci per a la reforma de la Granvia i del Samontà a l'Hospitalet de Llobregat	Vocal repr dept en mat d'ord del territ i urban amb rang orgànic mín director/a g, o d'un altre dept	Director General d'Ordenació del Territori i Urbanisme	18287
Agència de Residus de Catalunya	Representants de la Generalitat	Secretari de Salut Pública del Departament de Salut	19029
Centre d'Alt Rendiment Esportiu (CAR)	Una representant del dpt. competent en matèria de salut amb rang orgànic mínim de direcció general	Secretari de Salut Pública del Departament de Salut	19029
Autoritat del Transport Metropolità, Consorci per a la coordinació del sistema metropolità del transport públic de l'àrea de Barcelona	Vocals en representació de la Generalitat de Catalunya	Directora general de Pressupostos de la Generalitat de Catalunya	1300
Fundació Privada I2CAT, Internet i Innovació Digital a Catalunya	Vicepresident/a segon/a. Secretari/ària General competent en telecomunicacions i polítiques digitals	Secretària General del Departament de la Presidència	14
Servei Públic d'Ocupació de Catalunya	El/la vicepresident/a, que és el/la secretari/ària competent en matèria d’ocupació	Secretari de Treball del Departament d'Empresa i Treball	21662
Centre d'Estudis Jurídics i Formació Especialitzada	Alts càrrecs del Departament de Justícia, designats per la persona que n'exerceix la presidència.	Secretària per a l'Administració de Justícia del Departament de Justícia, Drets i Memòria	15771
Agència Catalana del Consum	El/la director/a nomenat pel Govern, a proposta del conseller/a del dept. matèria de consum	Director de l'Agència Catalana del Consum	14299
Agència de l'Habitatge de Catalunya	Persones que determini el Govern en representació de la Generalitat i entitats relacionades	Director de l'Agència Catalana del Consum	14299
Institut per al Desenvolupament de les Comarques de l'Ebre (IDECE)	La vicepresidència segona, designada pel president/a entre les persones repr. de la Generalitat	Titular de la Secretaria d'Empresa i Competitivitat	19035
